simulation_year,scenario_label,ntp_seconds_counter,unix_signed_counter,unix_64bit_counter,ntp_era,interpreted_ntp_year,interpreted_unix_year,interpreted_unix_year_64bit,overflow_event_flag,ntp_overflow_occurred,unix_overflow_occurred,time_error_ntp_seconds,time_error_unix_seconds,legacy_device_fraction_affected,patch_rate_per_year,initial_legacy_fraction,true_seconds_since_ntp_epoch,true_seconds_since_unix_epoch
2042.89117,ntp_era_aware_systems,214335103.99985123,-1994696897.0,2300270399.0,1.0,1906.7918695971764,1906.791869565493,2042.8911703995234,1,1,1,4294967295.0,4294967295.0,0.15554048097410644,0.05,0.4,4509302399.999851,2300270399.9998507
2042.973306,ntp_era_aware_systems,216927103.99985027,-1992104897.0,2302862399.0,1.0,1906.8740051207903,1906.874005089107,2042.9733059231373,1,1,1,4294967295.0,4294967295.0,0.15490302088060112,0.05,0.4,4511894399.99985,2302862399.9998503
2043.055441,ntp_era_aware_systems,219519103.99984932,-1989512897.0,2305454399.0,1.0,1906.9561406444043,1906.956140612721,2043.0554414467513,1,1,1,4294967295.0,4294967295.0,0.15426817332479828,0.05,0.4,4514486399.999849,2305454399.99985
2043.137577,ntp_era_aware_systems,222111103.99984932,-1986920897.0,2308046399.0,1.0,1907.0382761680182,1907.0382761363348,2043.1375769703652,1,1,1,4294967295.0,4294967295.0,0.15363592759959127,0.05,0.4,4517078399.999849,2308046399.999849
2043.219713,ntp_era_aware_systems,224703103.99984837,-1984328897.0,2310638399.0,1.0,1907.1204116916322,1907.1204116599488,2043.2197124939792,1,1,1,4294967295.0,4294967295.0,0.15300627304175485,0.05,0.4,4519670399.999848,2310638399.9998484
2043.301848,ntp_era_aware_systems,227295103.9998474,-1981736897.0,2313230399.0,1.0,1907.202547215246,1907.2025471835627,2043.3018480175933,1,1,1,4294967295.0,4294967295.0,0.15237919903176556,0.05,0.4,4522262399.999847,2313230399.999848
2043.383984,ntp_era_aware_systems,229887103.9998474,-1979144897.0,2315822399.0,1.0,1907.28468273886,1907.2846827071767,2043.3839835412073,1,1,1,4294967295.0,4294967295.0,0.15175469499362237,0.05,0.4,4524854399.999847,2315822399.999847
2043.466119,ntp_era_aware_systems,232479103.99984646,-1976552897.0,2318414399.0,1.0,1907.366818262474,1907.3668182307906,2043.4661190648212,1,1,1,4294967295.0,4294967295.0,0.15113275039466867,0.05,0.4,4527446399.999846,2318414399.9998465
2043.548255,ntp_era_aware_systems,235071103.9998455,-1973960897.0,2321006399.0,1.0,1907.448953786088,1907.4489537544046,2043.5482545884352,1,1,1,4294967295.0,4294967295.0,0.15051335474541425,0.05,0.4,4530038399.9998455,2321006399.9998455
2043.63039,ntp_era_aware_systems,237663103.9998455,-1971368897.0,2323598399.0,1.0,1907.5310893097019,1907.5310892780185,2043.630390112049,1,1,1,4294967295.0,4294967295.0,0.14989649759935858,0.05,0.4,4532630399.9998455,2323598399.999845
2043.712526,ntp_era_aware_systems,240255103.99984455,-1968776897.0,2326190399.0,1.0,1907.6132248333158,1907.6132248016327,2043.712525635663,1,1,1,4294967295.0,4294967295.0,0.14928216855281462,0.05,0.4,4535222399.999845,2326190399.9998446
2043.794661,ntp_era_aware_systems,242847103.9998436,-1966184897.0,2328782399.0,1.0,1907.6953603569298,1907.6953603252466,2043.794661159277,1,1,1,4294967295.0,4294967295.0,0.14867035724473338,0.05,0.4,4537814399.999844,2328782399.9998436
2043.876797,ntp_era_aware_systems,245439103.99984264,-1963592897.0,2331374399.0,1.0,1907.7774958805437,1907.7774958488606,2043.876796682891,1,1,1,4294967295.0,4294967295.0,0.148061053356529,0.05,0.4,4540406399.999843,2331374399.999843
2043.958932,ntp_era_aware_systems,248031103.99984264,-1961000897.0,2333966399.0,1.0,1907.8596314041577,1907.8596313724745,2043.9589322065049,1,1,1,4294967295.0,4294967295.0,0.14745424661190498,0.05,0.4,4542998399.999843,2333966399.9998426
2044.041068,ntp_era_aware_systems,250623103.9998417,-1958408897.0,2336558399.0,1.0,1907.9417669277716,1907.9417668960884,2044.0410677301188,1,1,1,4294967295.0,4294967295.0,0.14684992677668066,0.05,0.4,4545590399.999842,2336558399.9998417
2044.123203,ntp_era_aware_systems,253215103.99984074,-1955816897.0,2339150399.0,1.0,1908.0239024513855,1908.0239024197024,2044.1232032537328,1,1,1,4294967295.0,4294967295.0,0.14624808365861872,0.05,0.4,4548182399.999841,2339150399.999841
2044.205339,ntp_era_aware_systems,255807103.99984074,-1953224897.0,2341742399.0,1.0,1908.1060379749995,1908.1060379433163,2044.205338777347,1,1,1,4294967295.0,4294967295.0,0.14564870710725317,0.05,0.4,4550774399.999841,2341742399.9998407
2044.287474,ntp_era_aware_systems,258399103.99983978,-1950632897.0,2344334399.0,1.0,1908.1881734986134,1908.1881734669303,2044.2874743009609,1,1,1,4294967295.0,4294967295.0,0.14505178701371832,0.05,0.4,4553366399.99984,2344334399.99984
2044.36961,ntp_era_aware_systems,260991103.99983883,-1948040897.0,2346926399.0,1.0,1908.2703090222274,1908.2703089905442,2044.3696098245748,1,1,1,4294967295.0,4294967295.0,0.14445731331057812,0.05,0.4,4555958399.999839,2346926399.9998393
2044.451745,ntp_era_aware_systems,263583103.99983883,-1945448897.0,2349518399.0,1.0,1908.3524445458413,1908.3524445141582,2044.4517453481888,1,1,1,4294967295.0,4294967295.0,0.14386527597165652,0.05,0.4,4558550399.999839,2349518399.9998384
2044.533881,ntp_era_aware_systems,266175103.99983788,-1942856897.0,2352110399.0,1.0,1908.4345800694553,1908.434580037772,2044.5338808718027,1,1,1,4294967295.0,4294967295.0,0.14327566501186836,0.05,0.4,4561142399.999838,2352110399.999838
2044.616016,ntp_era_aware_systems,268767103.9998369,-1940264897.0,2354702399.0,1.0,1908.5167155930692,1908.5167155613863,2044.6160163954166,1,1,1,4294967295.0,4294967295.0,0.14268847048705066,0.05,0.4,4563734399.999837,2354702399.9998374
2044.698152,ntp_era_aware_systems,271359103.9998369,-1937672897.0,2357294399.0,1.0,1908.5988511166831,1908.5988510850002,2044.6981519190306,1,1,1,4294967295.0,4294967295.0,0.1421036824937954,0.05,0.4,4566326399.999837,2357294399.9998364
2044.780287,ntp_era_aware_systems,273951103.99983597,-1935080897.0,2359886399.0,1.0,1908.680986640297,1908.6809866086141,2044.7802874426445,1,1,1,4294967295.0,4294967295.0,0.14152129116928208,0.05,0.4,4568918399.999836,2359886399.999836
2044.862423,ntp_era_aware_systems,276543103.999835,-1932488897.0,2362478399.0,1.0,1908.763122163911,1908.763122132228,2044.8624229662585,1,1,1,4294967295.0,4294967295.0,0.1409412866911116,0.05,0.4,4571510399.999835,2362478399.9998355
2044.944559,ntp_era_aware_systems,279135103.999835,-1929896897.0,2365070399.0,1.0,1908.845257687525,1908.845257655842,2044.9445584898724,1,1,1,4294967295.0,4294967295.0,0.14036365927714065,0.05,0.4,4574102399.999835,2365070399.9998345
2045.026694,ntp_era_aware_systems,281727103.99983406,-1927304897.0,2367662399.0,1.0,1908.927393211139,1908.927393179456,2045.0266940134863,1,1,1,4294967295.0,4294967295.0,0.13978839918531635,0.05,0.4,4576694399.999834,2367662399.999834
2045.10883,ntp_era_aware_systems,284319103.9998331,-1924712897.0,2370254399.0,1.0,1909.0095287347528,1909.00952870307,2045.1088295371005,1,1,1,4294967295.0,4294967295.0,0.13921549671351247,0.05,0.4,4579286399.999833,2370254399.9998336
2045.190965,ntp_era_aware_systems,286911103.9998331,-1922120897.0,2372846399.0,1.0,1909.0916642583668,1909.0916642266839,2045.1909650607145,1,1,1,4294967295.0,4294967295.0,0.13864494219936535,0.05,0.4,4581878399.999833,2372846399.9998326
2045.273101,ntp_era_aware_systems,289503103.99983215,-1919528897.0,2375438399.0,1.0,1909.1737997819807,1909.1737997502978,2045.2731005843284,1,1,1,4294967295.0,4294967295.0,0.13807672602011126,0.05,0.4,4584470399.999832,2375438399.999832
2045.355236,ntp_era_aware_systems,292095103.9998312,-1916936897.0,2378030399.0,1.0,1909.2559353055947,1909.2559352739117,2045.3552361079423,1,1,1,4294967295.0,4294967295.0,0.13751083859242394,0.05,0.4,4587062399.999831,2378030399.9998317
2045.437372,ntp_era_aware_systems,294687103.9998312,-1914344897.0,2380622399.0,1.0,1909.3380708292086,1909.3380707975257,2045.4373716315563,1,1,1,4294967295.0,4294967295.0,0.13694727037225288,0.05,0.4,4589654399.999831,2380622399.9998307
2045.519507,ntp_era_aware_systems,297279103.99983025,-1911752897.0,2383214399.0,1.0,1909.4202063528226,1909.4202063211399,2045.5195071551702,1,1,1,4294967295.0,4294967295.0,0.13638601185466268,0.05,0.4,4592246399.99983,2383214399.9998302
2045.601643,ntp_era_aware_systems,299871103.9998293,-1909160897.0,2385806399.0,1.0,1909.5023418764365,1909.5023418447538,2045.6016426787842,1,1,1,4294967295.0,4294967295.0,0.13582705357367236,0.05,0.4,4594838399.999829,2385806399.9998293
2045.683778,ntp_era_aware_systems,302463103.9998293,-1906568897.0,2388398399.0,1.0,1909.5844774000504,1909.5844773683677,2045.6837782023981,1,1,1,4294967295.0,4294967295.0,0.135270386102096,0.05,0.4,4597430399.999829,2388398399.999829
2045.765914,ntp_era_aware_systems,305055103.99982834,-1903976897.0,2390990399.0,1.0,1909.6666129236644,1909.6666128919817,2045.765913726012,1,1,1,4294967295.0,4294967295.0,0.1347160000513836,0.05,0.4,4600022399.999828,2390990399.9998283
2045.848049,ntp_era_aware_systems,307647103.9998274,-1901384897.0,2393582399.0,1.0,1909.7487484472783,1909.7487484155956,2045.848049249626,1,1,1,4294967295.0,4294967295.0,0.1341638860714627,0.05,0.4,4602614399.999827,2393582399.9998274
2045.930185,ntp_era_aware_systems,310239103.99982643,-1898792897.0,2396174399.0,1.0,1909.830883970892,1909.8308839392096,2045.93018477324,1,1,1,4294967295.0,4294967295.0,0.13361403485058093,0.05,0.4,4605206399.999826,2396174399.999827
2046.01232,ntp_era_aware_systems,312831103.99982643,-1896200897.0,2398766399.0,1.0,1909.9130194945062,1909.9130194628235,2046.0123202968539,1,1,1,4294967295.0,4294967295.0,0.1330664371151486,0.05,0.4,4607798399.999826,2398766399.9998264
2046.094456,ntp_era_aware_systems,315423103.9998255,-1893608897.0,2401358399.0,1.0,1909.9951550181202,1909.9951549864375,2046.094455820468,1,1,1,4294967295.0,4294967295.0,0.13252108362958256,0.05,0.4,4610390399.9998255,2401358399.9998255
2046.176591,ntp_era_aware_systems,318015103.9998245,-1891016897.0,2403950399.0,1.0,1910.077290541734,1910.0772905100514,2046.176591344082,1,1,1,4294967295.0,4294967295.0,0.1319779651961504,0.05,0.4,4612982399.999825,2403950399.999825
2046.258727,ntp_era_aware_systems,320607103.9998245,-1888424897.0,2406542399.0,1.0,1910.159426065348,1910.1594260336653,2046.258726867696,1,1,1,4294967295.0,4294967295.0,0.13143707265481522,0.05,0.4,4615574399.999825,2406542399.9998245
2046.340862,ntp_era_aware_systems,323199103.9998236,-1885832897.0,2409134399.0,1.0,1910.241561588962,1910.2415615572793,2046.3408623913099,1,1,1,4294967295.0,4294967295.0,0.13089839688308122,0.05,0.4,4618166399.999824,2409134399.9998236
2046.422998,ntp_era_aware_systems,325791103.9998226,-1883240897.0,2411726399.0,1.0,1910.323697112576,1910.3236970808935,2046.4229979149238,1,1,1,4294967295.0,4294967295.0,0.1303619287958398,0.05,0.4,4620758399.999823,2411726399.999823
